C601,C602,R002-0701,R002-0702,R002-0703,R002-0704,R002-0705,R002-0706,R002-0707,R002-0708,R002-0709,R002-0710,R002-0711,R002-0712
2024,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
