C601,C602,R019-0201,R019-0202,R019-0203,R019-0204,R019-0205,R019-0206
2024,P04,PEGASO PCS,NA,NA,NA,NA,22019132
2024,P05,PEGASO PCS,NA,NA,NA,NA,21753675
2024,P06,PEGASO PCS,NA,NA,NA,NA,13647657
2024,P04,LEVEL SMS S.A DE C.V,NA,NA,NA,NA,6478764
2024,P05,LEVEL SMS S.A DE C.V,NA,NA,NA,NA,10978269
2024,P06,LEVEL SMS S.A DE C.V,NA,NA,NA,NA,6958211
2024,P04,MOBILE SERVICES CLOUD,NA,NA,NA,NA,3085
2024,P05,MOBILE SERVICES CLOUD,NA,NA,NA,NA,10243
2024,P06,MOBILE SERVICES CLOUD,NA,NA,NA,NA,623548
2024,P04,Tecnologías Romber S.A. de C.V.,NA,NA,NA,NA,289215
2024,P05,Tecnologías Romber S.A. de C.V.,NA,NA,NA,NA,343050
2024,P06,Tecnologías Romber S.A. de C.V.,NA,NA,NA,NA,329655
